word	count
主讲人	22
重庆大学	21
报名	15
—	14
研究	14
简介	13
就业	11
中国	10
成功	10
选调生	10
副教授	9
培训	9
同学	9
有	9
国际	8
分析	8
基层	8
学院	7
教授	7
地理	7
开发	7
专题	7
基地	7
训练营	7
•	6
博士	6
大学	6
能源	6
科学家	6
举办	6
过程	6
教育	6
教学	6
文化	6
考试	6
香港大学	5
时间	5
国家	5
指导	5
委员	5
应用	5
研究生	5
关注	5
信息	5
请	5
汇众	5
考情	5
公务员	5
学生	5
社区	4
治理	4
广州	4
深静	4
城市	4
讲座	4
担任	4
研究院	4
委员会	4
纳米技术	4
半导体	4
纳米材料	4
电化学	4
水质	4
监控	4
有机	4
污染物	4
降解	4
转换	4
储存	4
方面	4
澳大利亚	4
中国科学院	4
成果	4
论文	4
创新	4
实践	4
欢迎	4
微信	4
参与	4
北京大学	4
中国计算机学会	4
阅读	4
解析	4
发展	3
系列	3
论坛	3
地点	3
副	3
设计	3
青年	3
期刊	3
会	3
专业	3
a	3
I	3
s	3
张山青	3
协会	3
王	3
优秀	3
主要	3
从事	3
况山	3
大家	3
注意	3
→	3
相关	3
讲师	3
毕业	3
研发	3
社会科学	3
学科	3
近年来	3
获	3
考研	3
上海	3
都市	3
文学	3
真题	3
毕业生	3
公职	3
类	3
申论	3
开营	3
门禁	2
业委会	2
例	2
学术活动	2
周五	2
建筑	2
城规	2
报告厅	2
讨论	2
嘉宾	2
徐苗	2
主持人	2
重庆市	2
城乡	2
城市规划	2
是	2
规划	2
院长	2
访问学者	2
研究员	2
网络	2
政策	2
A	2
现	2
任职	2
格里菲斯	2
环境	2
基金会	2
昆士兰	2
华人	2
工程师	2
主席	2
客座教授	2
宽城	2
海外	2
首席	2
作出	2
出色	2
著名	2
发表	2
授权	2
专利	2
商品化	2
老师	2
主讲	2
游戏	2
积极	2
免费	2
广大	2
名额	2
仅限	2
人	2
方式	2
进入	2
点击	2
填写	2
广告	2
到	2
坚持	2
课程内容	2
加入	2
群	2
益智	2
集团	2
人才	2
孵化	2
技术	2
学员	2
世界	2
数字	2
娱乐	2
互联网	2
领域	2
计算	2
李晓明	2
社会	2
经济	2
可能	2
体现	2
方法	2
帮助	2
具体	2
二等奖	2
英语	2
写作	2
刘博	2
文章	2
四川	2
外国语	2
特聘	2
重庆	2
独特	2
做	2
薛毅	2
新	2
农村	2
获得	2
关乎	2
读本	2
鲁迅	2
论	2
奖	2
理论	2
选拔	2
求职	2
能力	2
就业指导	2
服务中心	2
活动	2
国	2
需	2
预约	2
中心	2
公众	2
成	2
公	2
路	2
中公	2
转型	1
褚冬竹	1
毛华松	1
肖竞	1
专题讲座	1
规划院	1
战略	1
研究所	1
孟庆	1
副所长	1
渝中区	1
发改委	1
高琳	1
主任	1
黄	1
瓴	1
杨震	1
现任	1
系	1
优秀青年	1
基金	1
科技奖	1
获得者	1
先后	1
中山大学	1
科学	1
助理	1
哈佛大学	1
英国	1
卡迪夫	1
职位	1
目前	1
编辑	1
热带	1
编委	1
联合会	1
亚太	1
住房	1
地理学	1
秘书长	1
人文地理	1
学会	1
学术	1
王涌天	1
朱亦鸣	1
预告	1
研究生院	1
举行	1
上课	1
教	1
使用	1
学到	1
建模	1
技巧	1
了解	1
体验	1
乐趣	1
参加	1
师生	1
开放	1
保证	1
课堂	1
质量	1
先报	1
二维码	1
要	1
提交	1
即	1
无关	1
设置	1
座位	1
序号	1
选座	1
回复	1
完成	1
全部	1
交流	1
标明	1
年级	1
姓名	1
严禁	1
建议	1
自带	1
电脑	1
安装	1
软件	1
进行	1
学习	1
介绍	1
热忱	1
重大	1
科学技术	1
西南	1
计算机专业	1
精通	1
受聘	1
旗下	1
项目经理	1
兼	1
总部	1
课程	1
组成员	1
所带	1
成就	1
诛仙	1
完美	1
知名	1
隶属于	1
专注	1
职业	1
产品	1
制作	1
公司	1
i	1
v	1
张山青教授	1
思维	1
出	1
特征	1
计算机科学	1
思想	1
理解	1
大	1
数据	1
兴起	1
变得	1
频繁	1
起来	1
出现	1
交叉学科	1
例子	1
来	1
展现	1
分享	1
讲者	1
教学科研	1
体会	1
会士	1
任	1
计算机系	1
系主任	1
副理事长	1
校长助理	1
计算机	1
交叉	1
问题	1
推动	1
慕	1
课	1
教学改革	1
科技进步	1
选奖	1
杰出	1
教育奖	1
单词	1
背	1
长句	1
破	1
基本功	1
读	1
渐进法	1
写	1
优化	1
语言	1
输出	1
路径	1
英语专业	1
硕士学位	1
主修	1
教学法	1
美国哥伦比亚大学	1
新东方	1
管理部	1
总监	1
翻译	1
教研	1
见解	1
认知科学	1
圈层	1
模型	1
报告	1
路遥	1
生平	1
知识者	1
独特性	1
历史进程	1
有着	1
意义	1
作用	1
平凡	1
人生	1
文坛	1
受到	1
冷落	1
民众	1
拥有	1
极大	1
量	1
文学史	1
经典	1
位置	1
解释	1
作品	1
认识	1
新文化	1
想象	1
未来	1
上海师范大学	1
中文系	1
高校	1
E	1
著	1
无词	1
言语	1
当代	1
现象	1
历史	1
精神	1
传统	1
主编	1
现代	1
语文	1
西方	1
乡土	1
竹内	1
好	1
陈映真	1
文选	1
反抗者	1
论战	1
悲哀	1
反思	1
新语文	1
运动	1
张承志	1
荒凉	1
祈盼	1
文学奖	1
哲学	1
霍英东	1
现当代	1
鲁迅研究	1
迟鹏程	1
中央	1
各省市	1
村官	1
银行	1
启动	1
备考	1
提高	1
职通讲坛	1
期	1
考生	1
提供	1
服务	1
事宜	1
安排	1
如下	1
内容	1
B	1
重	1
C	1
历年	1
解读	1
D	1
解题技巧	1
面向对象	1
意向	1
报考	1
考	1
行政	1
测试	1
综合	1
基础知识	1
程序	1
实行	1
制	1
总	1
限	1
欲报	1
截止	1
晚上	1
唯一	1
通道	1
官方	1
咨询	1
栏目	1
保持	1
邮箱	1
手机	1
通畅	1
密切	1
推送	1
指定	1
准时	1
分	1
开始	1
签到	1
入场	1
名额有限	1
不得	1
缺席	1
请假	1
提前	1
发邮件	1
报备	1
联系人	1
丰	1
王老师	1
可	1
往期	1
回顾	1
正式	1
分校	1
资深	1
汉语言	1
具备	1
扎实	1
功底	1
熟悉	1
地方	1
应对	1
规律	1
考与	1
市考	1
高分	1
夺得	1
文	1
佳分	1
授课	1
风格	1
幽默诙谐	1
深入浅出	1
没有	1
题目	1
深受	1
喜爱	1
