工作ID,工作名,公司名,公司Url,公司Logo,公司类型,城市,学历要求,薪资,福利,招聘人数,工作亮点,职位描述,技能要求

CC867377750J00136574514,大数据研发经理（政府）,中科院计算技术研究所大数据研究院,https://company.zhaopin.com/CZ867377750.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/44d3656a9b4d3f03794025e9c165e91f.jpg,事业单位,郑州,本科,10K-15K,"['周末双休', '五险一金', '博士带队', '大咖聚集', '院士驻扎']",3,['周末双休五险一金博士带队大咖聚集院士驻扎政府共建'],"岗位职责
1.?负责单位的大数据采集、数据服务平台、业务分析系统的开发相关工作；设计与开发分布式存储、数据处理与分析框架；
2.?配合产品经理进行大数据项目和产品的组织实施和项目管理，对项目和产品进行架构设计；
3.?负责大数据相关项目和产品的计划定制并带领团队实施；
4.?负责大数据平台新组件的研究、探索与应用；
5. 负责大数据技术开发团队的管理，并进行相关技术培训。
任职要求
1.?计算机、信息、通讯相关专业本科以上学历，5
年以上工作经验，
丰富的
Java研发经验
；
2.?熟悉大数据生态相关技术、包括但不限于YARN
、
HDFS
、
IMPALA
、
HBASE
等生态技术和框架，具有
2
年以上相关经验；
3.?熟练掌握Kafka
、
Spark?Streaming
等实时处理技术和框架的开发；
4.?熟练使用Shell
、
Python
等脚本语言；
5.?熟练使用SQL
语言编写数据库脚本，
精通
Mysql，Mongodb
、
Postgresql
、
Elasticsearch
等常用关系和非关系数据库
；
6.
熟悉大数据技术栈，对
Hadoop、Hive
、
Spark
、
Hbase
、
Kafka
等开源组件有使用及优化经验
；
7.?有强烈的责任意识，有良好的计划能力，并具有结果导向思维，能够承受较大的工作压力；
8. 熟悉主流数据挖掘算法开发实施经验者优先；
9.?有舆情数据处理和分析经验者优先。",['']

CC867377750J00136567014,大数据开发（平台）,中科院计算技术研究所大数据研究院,https://company.zhaopin.com/CZ867377750.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/44d3656a9b4d3f03794025e9c165e91f.jpg,事业单位,郑州,本科,7K-12K,"['周末双休', '五险一金', '博士带队', '大咖聚集', '院士驻扎']",,[''],,['']

CZ573405380J00156379012,大数据讲师 双休,哈工大大数据(哈尔滨)教育咨询有限公司,https://company.zhaopin.com/CZ573405380.htm,https://fileihr.zhaopin.com/057/340/057340538/logo/2eab05d1-1cc6-4f78-9c97-4fb930c5ad17.png,国企,哈尔滨,本科,5K-7K,"['创业公司', '周末双休', '五险一金', '绩效奖金', '年终分红']",,[''],,['']

CC859126580J00122506515,大数据开发工程师,大庆高新大数据有限公司,https://company.zhaopin.com/CZ859126580.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/afa86a928c3d3f0b4b4aa6f1df49522d.jpg,国企,大庆,本科,6K-12K,"['五险一金', '绩效奖金', '带薪年假']",,[''],,['']

CC859126580J00122511915,大数据平台维护工程师,大庆高新大数据有限公司,https://company.zhaopin.com/CZ859126580.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/afa86a928c3d3f0b4b4aa6f1df49522d.jpg,国企,大庆,本科,6K-12K,"['五险一金', '绩效奖金', '带薪年假']",,[''],,['']

CC696736080J00158919113,大数据/软件开发实习生,沈阳多码斯信息技术有限公司,https://company.zhaopin.com/CZ696736080.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,沈阳,学历不限,2K-4K,"['五险一金', '通讯补助', '弹性工作', '周末双休', '定期团建']",,[''],,['']

CC839789170J00233612106,大数据开发助理,米跳蛙(上海)教育科技有限公司,https://company.zhaopin.com/CZ839789170.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,上海,大专,6K-8K,[],10,[''],"岗位职责：
1、负责协助工程师进行不同项目的应用程序开发；
2、服从公司的发展要求，认真学习和全面了解公司的相关情况和工作细节；
3、负责公司基本项目的开发，熟练掌握公司所应用的专业技术；
4、参与公司所用技术的优化和升级。

任职要求：
1、大专以上学历，理工科专业优先，20-27周岁，无经验者前期有同事一对一帮带；
2、热爱IT行业，乐于从事软件开发、测试、实施、运营维护等相关工作；
3、执行力强，学习能力强，能在工作中不断提升自己；
4、欢迎应往届毕业生的加入，根据能力等综合条件，给予相应的发展空间。

福利待遇：
1、按照国家相关政策为员工缴纳五险一金,5天8小时工作制,无加班,双休；
2、提供统一标准的工作餐补贴；
3、带薪休假（法定节假日，年假，婚假，丧假，病假等）；
4、公司注重员工培养，给予晋升机会，管理层主要从基层员工中培养、提拔。",['']

CZ577385680J00421166401,大数据工程师+可实习,广州市春畅软件技术有限公司,https://company.zhaopin.com/CZ577385680.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,广州-白云区,大专,8K-10K,"['五险一金', '周末双休', '年底双薪', '全勤奖', '餐补']",,[''],,['']

CC120488011J00273771702,大数据运维工程师,广州时代数据服务有限公司,https://company.zhaopin.com/CZ120488010.htm,https://fileihr.zhaopin.com/012/048/012048801/logo/dfab179d-ea18-42bf-85d3-932fc2c9ae79.jpg,民营,广州-天河区,大专,8K-15K,"['节日福利', '周末双休', '全勤奖', '五险一金', '带薪年假']",,[''],,['']

CZ502656930J00286628606,大数据项目经理,西安兆联信息科技有限公司,https://company.zhaopin.com/CZ502656930.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,兰州,硕士,30K-50K,[],,[''],,['']

CC875193170J00172530413,8k大数据分析工程师?五险一金?双休,青岛乾璟昶盛信息服务有限公司,https://company.zhaopin.com/CZ875193170.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/80ba1fb552e644eefc9af3e85f4f18b5.jpg,民营,青岛,大专,8K-10K,"['五险一金', '全勤奖', '包住', '绩效奖金', '节日福利']",,[''],,['']

