company,city,edu,resumeCount,salary,jobName,detail
国网信息通信产业集团有限公司北京分公司,北京,本科/5-10年,10,15K-20K,大数据咨询策划,"基本素质要求：学历：本科 年龄：30 岁— 35 岁      性别：男/女 专业：计算机、通信及相关专业  相关工作经验： 5 年以上   专业知识及技能要求：有城市大数据方向的咨询、开发、运营、交付经验（至少具备一项）。 能力素质要求：1、本科或以上学历，有三年以上大数据底层开发及相关技术工作经验，熟悉至少一种结构化数据库和至少一种非结构化数据库的底层运行原理，体系架构和优缺点；2、2年+Spark/hadoop系统研发经验，有大型互联网服务的设计和开发经验者优先；3、MapReduce及其他并行计算的实践经验，或者HDFS等分布式文件系统的实践经验者优先；4、需要熟悉大数据，数据治理，主数据，元数据以及云计算等相关架构；5、精通数据库产品性能分析和测试，对数据库的优化，存储性能有较深的研究和操作经验；6、拥有使用SQL,Linux以及本地或云端分布式计算平台（例如 HDInsight，EMR,BigQuery，Hadoop等）的经验；7、拥有至少一种相关开发编码能力，Python/R，Scala/Java，net等;8、具备较强的分析技能和问题解决能力，有较强的学习能力，具有较强的沟通能力。工作职责：（重点工作，协助工作，参与工作）1、 负责城市大数据业务规划顶层设计，通过大数据产业架构，业界动态洞察，情报与战略分析，准确的把握大数据产业发展趋势，商业趋势，政策导向，为部门构建战略性大数据组织架构提供有效解决方案。2、 对项目大数据落地项目的系统架构及质量负责。负责大数据战略项目及高级政府部门的牵引与支撑，帮助公司提升大数据市场格局，增加市场影响力。3、 通过解读国家政策，分解国家战略，匹配区域政治定位，结合公司能力，制定大数据3-5年愿景规划解决方案，能从业务架构，技术架构，应用架构角度实现解决方案落地。4、 研究最新国外、国内大数据行业现状、大数据产业生态和案例，完善解决方案体系及架构方法，协助建立相关领域知识库和成果库。5、补充团队产业规划能力，不断提升团队的专业水平。"
北京通付盾数据科技有限公司,北京,本科/1-3年,96,10K-15K,大数据测试工程师,职责描述：1、根据产品规范编写测试计划，设计测试数据和测试用例并评审；2、执行软件测试，完成对产品的集成测试与系统测试，对产品的功能、性能及其他方面的测试负责；3、对软件问题进行跟踪分析和报告，推动测试中发现问题及时合理地解决；4、汇总测试执行情况，出具相关报告；对开发团队的流程及各环节产出物进行质量监督审核。任职要求1、计算机相关专业，2~3年工作经验，本科及以上学历；2、具有软件测试理论基础，熟悉常见的软件测试工具和测试方法；3、学习能力强，至少会一种脚本语言（Python，Shell等）；4、熟悉jmeter，loadrunner，selenium等测试工具，了解自动化测试框架优先；5、工作态度积极，认真， 有责任心。能承受一定的工作压力，乐于分享、优秀的沟通技能及团队协作能力。
中电科大数据研究院有限公司,成都-高新区,硕士/5-10年,3,18K-25K,大数据系统架构师,岗位职责：1、负责大数据系统的规划和架构设计工作，主导系统的架构设计与核心模块开发；2、负责研究技术发展方向，探索新技术领域，将新技术应用到项目；3、负责技术规范制定，指导开发团队进行实施工作；4、支持技术团队的建设与能力培养。任职资格：1、计算机相关专业，硕士及以上学历，5年以上相关工作经验；2、熟悉大数据相关技术，如Spark、Hadoop、Hive、HBase、Pig、Sqoop、MapReduce等，有丰富的大数据系统架构设计经验；深刻理解大数据系统相关技术和实现；3、熟悉主流的应用与服务开源框架，如Java EE相关开源框架，有应用与服务的架构设计经验，熟悉设计模式，面向服务等思想并应用到架构设计当中；4、了解数据挖掘算法与自然语言处理者优先；5、熟悉项目管理理论，敏捷开发实践方法，有领导技术团队能力者优先；6、逻辑思维能力严密，分析判断能力强，具备一定的独立沟通、协调能力。
苏州宽连信息技术有限公司,南京-雨花台区,本科/3-5年,2,9K-15K,大数据产品经理-南京,职位描述：1、负责大数据营销产品框架搭建；2、协同团队实现产品开发、上线；3、跟进客户反馈，优化迭代产品，建立产品标准化。任职要求： 1、本科以上学历，3年以上互联网产品经验；2、负责过大数据营销相关产品，熟悉相关产品搭建及实现过程；3、具有良好的逻辑思维与系统分析能力，对设计和细节敏感；4、具有良好的团队协作意识、综合沟通能力，责任心强，抗压性强；5、熟悉SQL查询，工作经历有My SQl/HIVE等的优先；6、对数据挖掘、机器学习等基本概念了解，对数据分析和应用敏感。
中电科大数据研究院有限公司,成都-高新区,硕士/不限,1,18K-25K,总体论证专家（大数据安全）,岗位职责：1.承担大数据安全相关领域（大数据安全体系架构及安全算法、数据隐私保护技术、安全审计技术等）的方案设计和关键技术研究工作。2.负责政府数据共享交换场景下的安全保障体系设计、项目规划、方案撰写、标准起草等工作。3.负责或参与政务数据安全与隐私保护相关领域的需求分析、项目论证、解决方案交付等工作。任职要求：1.计算机相关专业，硕士及以上学历。2.具有3年以上信息安全从业经验，熟悉主流信息安全方案及原理，有研发及产品管理经验。3.具有云计算与大数据安全体系专业知识，对云计算与大数据安全体系架构、信息安全技术、大数据脱敏技术等有一定的理论基础。4.具有较好的问题分析能力、逻辑思维能力和方案文档编写能力。5.具有团队合作精神、良好的语言表达、文字表达及沟通能力，良好的英文阅读及听说水平优先。6. 有CISSP、ITIL等安全管理专业资质者优先。
苏州宽连信息技术有限公司,杭州,本科/3-5年,1,10K-15K,大数据产品经理,职位描述：1、负责大数据营销产品框架搭建；2、协同团队实现产品开发、上线；3、跟进客户反馈，优化迭代产品，建立产品标准化。任职要求： 1、本科以上学历，3年以上互联网产品经验；2、负责过大数据营销相关产品，熟悉相关产品搭建及实现过程；3、具有良好的逻辑思维与系统分析能力，对设计和细节敏感；4、具有良好的团队协作意识、综合沟通能力，责任心强，抗压性强；5、熟悉SQL查询，工作经历有My SQl/HIVE等的优先；6、对数据挖掘、机器学习等基本概念了解，对数据分析和应用敏感。
中电科大数据研究院有限公司,成都-高新区,硕士/1-3年,0,15K-20K,大数据安全研发工程师,岗位职责：1.承担大数据安全相关领域（大数据安全体系架构及安全算法、数据隐私保护技术、安全审计技术等）的方案设计和关键技术研发工作。2.负责政府数据共享交换场景下的安全保障体系设计、项目规划、方案撰写、标准起草等工作。3.负责或参与政务数据安全与隐私保护相关领域的需求分析、项目立项等工作。任职要求：1.计算机相关专业，硕士及以上学历。2.具有云计算、大数据安全体系专业知识，对云计算与大数据安全体系架构、信息安全技术、大数据脱敏技术等有一定的理论基础。3.具有较好的问题分析能力、逻辑思维能力和方案文档编写能力。4.具有团队合作精神、良好的语言表达、文字表达及沟通能力。
河南聚云客网络科技有限公司,郑州,大专/1-3年,1,6K-8K,大数据销售+不加班+双休,技能要求：﻿销售，售前支持，售后支持，销售顾问，数字营销，软件销售任职要求：1、具有良好的沟通能力和语言表达能力；2、学习能力强，能不断的学习进步；3、有无销售经验均可。岗位职责：1、网络上及时与客户沟通，维护客户关系；2、对公司产品进行网络推广和销售 ；3、按时参加公司组织的专业培训，提升自身能力；4、完成上级安排的其他工作。福利待遇：1．底薪3K+高提成+奖金（周奖+月奖+年终奖）人均月薪6000+，月薪过万不是梦，销冠记录等你破！2．广阔的发展空间：销售代表--销售主管--销售经理--销售总监，另有横向发展，提供转岗机会。3．依照国家规定为员工享有带薪年假、产假、婚丧假，享受国家规定的法定节假日、节日补贴礼品或奖金；4．享受公司提供的活动经费、员工生日party、参加公司聚餐、定期旅游、唱K、拓展活动、周年晚会！工作时间:9:00-12:00  14:00-18:30，朝九晚六，每天8小时，单双轮休，法定节假日带薪休假。联系人：郭老师  15225190341工作地址：郑州市金水区金水路与玉凤路浦发国际金融中心（名门地产）2301室
苏州宽连信息技术有限公司,苏州-工业园区,本科/3-5年,1,9K-15K,大数据产品经理-苏州,职位描述：1、负责大数据营销产品框架搭建；2、协同团队实现产品开发、上线；3、跟进客户反馈，优化迭代产品，建立产品标准化。任职要求： 1、本科以上学历，3年以上互联网产品经验；2、负责过大数据营销相关产品，熟悉相关产品搭建及实现过程；3、具有良好的逻辑思维与系统分析能力，对设计和细节敏感；4、具有良好的团队协作意识、综合沟通能力，责任心强，抗压性强；5、熟悉SQL查询，工作经历有My SQl/HIVE等的优先；6、对数据挖掘、机器学习等基本概念了解，对数据分析和应用敏感。
深圳市联影医疗数据服务有限公司,深圳-南山区,大专/5-10年,14,15K-25K,医疗大数据开发组长,"岗位职责：1、负责规划公司大数据技术发展路线、制定大数据平台基础平台的技术架构设计、制定技术规范、完善开发流程，打造医疗大数据平台；2、和产品团队深入合作，解决在业务发展中遇到的产品和平台架构问题，并对现有的大数据平台进行优化；3、对数据业务或医疗业务有一定的理解能力，能够将业务的思路融入到数据产品的规划和设计上；4、基于医疗行业数据,挖掘数据价值，负责实现各类病历档案、数据源整合，监控预测和平台类数据产品;5、分配工作任务，培训团队成员，并进行技术分享保持团队对相关技术的理解和普及。岗位要求：1、5年以上大数据研发经验，对Linux操作系统熟练掌握，熟悉shell脚本编程和大数据开发编程（Java, Python）；2、对Hadoop生态圈有深刻理解，掌握Map/Reduce、HBASE、HIVE、Spark中两种以上开发技术，并有实际产品的上线应用；3、具备医疗行业信息化产品或者研发领域行业经验优先；4、具有清晰的系统思维逻辑，对大数据架构设计与核心部件开发以及业界新技术追踪有浓厚兴趣；5、有良好的项目落地和推动能力、能够跨团队组织、推动项目落地，有大数据团队管理经验优先；6、良好的沟通和分析问题与解决问题能力。"
河南聚云客网络科技有限公司,郑州,不限/不限,3,4K-6K,大数据网络销售+双休+高提成+无限,任职要求：1、年龄18-35岁，男女不限；2、具有良好的沟通能力和语言表达能力；3、学习能力强，能不断的学习进步；4、个性开朗、反应敏捷，有较强责任和良好的客户服务意识；5、有无销售经验均可。岗位职责：1、热爱互联网工作，能熟练操作电脑及手机微信即可；2、网络上及时与客户沟通，维护客户关系；3、对公司产品进行网络推广和销售 ；4、按时参加公司组织的专业培训，提升自身能力；5、完成上级安排的其他工作。工作时间:9:00-11:30   13：30-18:00，每天8小时，单双轮休，法定节假日带薪休假。我们提供：1．富有竞争力的薪酬待遇：底薪3K+高提成+奖金（周奖+月奖+年终奖）人均月薪6000+，月薪过万不是梦，销冠记录等你破！2.完美的上班时间：朝九晚六，8小时办公，不必行走匆匆，还能轻松避开早高峰!3．广阔的发展空间：销售代表--销售主管--销售经理--销售总监，另有横向发展，提供转岗机会。年轻我们靠实力，谁说我们没资历？4．高大上办公环境：环境优美，空气清新，快乐办公，生活轻松。5．依照国家规定为员工享有带薪年假、产假、婚丧假，享受国家规定的法定节假日、节日补贴礼品或奖金；6．享受公司提供的活动经费、丰富下午茶、员工生日party、参加公司聚餐、定期旅游、唱K、拓展活动、周年晚会、抽奖！联系人：王老师  18768851017工作地址：郑州市金水区金水路与玉凤路浦发国际金融中心（名门地产）2301室
