title	category	speaker	date	url
汉马培育与北朝诸王的崛起	文字斋讲座	尚永琪	2019-07-13	http://news.cqu.edu.cn/newsv2/show-24-708-1.html
第101讲：社会主义核心价值观中的自由、平等、公正、法治概念之关系	文字斋讲座	王胜强	2019-06-28	http://news.cqu.edu.cn/newsv2/show-24-705-1.html
【文字斋讲座】中华人民共和国史研究的热点和难点问题	文字斋讲座	王瑞芳	2019-06-27	http://news.cqu.edu.cn/newsv2/show-24-706-1.html
同煤集团科学技术委员会主任、教授级高工于斌学术报告	工程科学前沿讲坛	于斌	2019-06-25	http://news.cqu.edu.cn/newsv2/show-24-704-1.html
美国医学与生物工程院会士Lijie Grace Zhang学术讲座	工程科学前沿讲坛	Dr. Lijie Grace Zhang	2019-06-14	http://news.cqu.edu.cn/newsv2/show-24-701-1.html
加拿大皇后大学姚仲文教授学术讲座	工程科学前沿讲坛	姚仲文 教授	2019-06-10	http://news.cqu.edu.cn/newsv2/show-24-703-1.html
美国加州大学伯克利分校Shaofan Li教授学术讲座	工程科学前沿讲坛	Shaofan Li	2019-06-10	http://news.cqu.edu.cn/newsv2/show-24-700-1.html
【传媒大讲坛】当下影视文化的变迁与符号双轴逆转	传媒大讲坛	王立新	2019-06-06	http://news.cqu.edu.cn/newsv2/show-24-697-1.html
北京石油化工学院宇波教授学术讲座	工程科学前沿讲坛	宇波 教授	2019-06-06	http://news.cqu.edu.cn/newsv2/show-24-699-1.html
西安交通大学王秋旺教授学术报告	工程科学前沿讲坛	王秋旺教授	2019-06-06	http://news.cqu.edu.cn/newsv2/show-24-698-1.html
安赛乐米塔尔公司蔡焕堂博士学术讲座	工程科学前沿讲坛	蔡焕堂博士	2019-06-05	http://news.cqu.edu.cn/newsv2/show-24-684-1.html
冶金过程混沌工程学	工程科学前沿讲坛	王华教授	2019-06-05	http://news.cqu.edu.cn/newsv2/show-24-696-1.html
第一百讲：五四：文明自觉还是文化自觉	文字斋讲座	许纪霖	2019-05-30	http://news.cqu.edu.cn/newsv2/show-24-694-1.html
重庆大学90周年校庆·前锋大讲堂 “民法规范论”学术讲座		王轶	2019-05-30	http://news.cqu.edu.cn/newsv2/show-24-692-1.html
【文字斋讲座】第九十九讲：从认知符号、语汇、词典、OWL知识本体到计算机词典编撰系统	文字斋讲座	顾曰国	2019-05-29	http://news.cqu.edu.cn/newsv2/show-24-687-1.html
【传媒大讲坛】地方创生与艺术介入：基于日本越后妻有大地艺术节的案例分享	传媒大讲坛	向勇	2019-05-27	http://news.cqu.edu.cn/newsv2/show-24-681-1.html
第三十一讲：新疆考古学研究的学术前沿与思考	博雅讲座	李肖	2019-05-27	http://news.cqu.edu.cn/newsv2/show-24-686-1.html
第九十八讲：社会学中的语文学方法：以葛兰言为开端	文字斋讲座	赵丙祥	2019-05-25	http://news.cqu.edu.cn/newsv2/show-24-690-1.html
第九十七讲：今天我们如何纪念“五四”？——“五四”新文学与现代文化建构	文字斋讲座	李怡	2019-05-24	http://news.cqu.edu.cn/newsv2/show-24-683-1.html
风电结构反向平衡法兰和预应力锚栓基础 低风区高风塔专门技术		马人乐	2019-05-24	http://news.cqu.edu.cn/newsv2/show-24-689-1.html
