title	category	speaker	date	url	times
植物脱毒新技术与脱毒机理	含弘讲坛	王乔春 教授	2019-07-02	/seeyon/xndxNewsData.do?method=userView&id=dXFITWhPcjFOcDZERWFPbmY1T3BrNE82U2NWbXVXQ0Y=	307
硒核酸化学结构生物学驱动大核酸药物创新以及人畜疾病检测	含弘讲坛	黄震 教授 (Georgia State University)	2019-07-04	/seeyon/xndxNewsData.do?method=userView&id=ZUJNSWV5dUsrREIzTjR6anNjdng0Ymc1RjloWWtsT3U=	138
高通量测序技术在昆虫系统基因组学和多样性研究中的应用	含弘讲坛	张峰	2019-07-01	/seeyon/xndxNewsData.do?method=userView&id=VW55NFVXODBmVi9LbFVpd1haaHAvU1hCbzRDZWNkWXY=	513
“111”计划引智基地系列学术报告	含弘讲坛	Lukasz L. Stelinski	2019-07-01	/seeyon/xndxNewsData.do?method=userView&id=MHNNSTRCL1ZEQjFXbnMwanc0QzFJRm9JMUFsRUxtTDE=	419
当志怪成为教科书：以纪昀的阅微草堂笔记为例	含弘讲坛	王东杰	2019-06-20	/seeyon/xndxNewsData.do?method=userView&id=NlM4WXZzaVRIelBxcTVza2dRMm5QVEhCY2tmSm5DWE4=	836
谈谈大型字书隐性疑难字的发现与考释	雨僧讲坛	杨宝忠教授（河北大学）	2019-06-18	/seeyon/xndxNewsData.do?method=userView&id=T3pHTnRkVVZYbUFDUFY5OW5RR3JuRXJZbFBxMHRxbXI=	1185
新时代国际视野下的英语专业人才定位与核心素养培养	含弘讲坛	刘智勇教授（美国印第安纳州立大学商学院）	2019-06-26	/seeyon/xndxNewsData.do?method=userView&id=SkRScmFURkdZNnlhRU5iSnJlSmJwUzduQ0RleU9uckM=	771
论语言竞争	含弘讲坛	李宇明教授（北京语言大学）	2019-06-17	/seeyon/xndxNewsData.do?method=userView&id=c1pBWHRoU25hKzJuSXJKZjVISFc0SS9XOC9NNWZtRng=	865
LED光对调控植物生长发育的影响	含弘讲坛	卞中华   博士	2019-06-06	/seeyon/xndxNewsData.do?method=userView&id=TFdnR2xPOWg2V3NmalRwSm9lcWpXeE12NjhtdU00ZVU=	737
 书法身份与书家形象	含弘讲坛	漆钢，重庆市文联副主席，重庆市书法家协会主席	2019-06-21	/seeyon/xndxNewsData.do?method=userView&id=dmkyYVhCUUI0TGhUbHNRV1dwSlRrUmtWSzJUK0E0eU4=	1136
柑桔木虱及柑桔黄龙病的相关研究	含弘讲坛	Lukasz L. Stelinski	2019-06-27	/seeyon/xndxNewsData.do?method=userView&id=aUxiRnpjVm8wOWZjOHoyS3FsaFFBSE91a2dnOEUwWmc=	536
在百年变局中增强定力和自信	光大讲坛	重庆市社科联党组成员、副主席潘勇	2019-06-11	/seeyon/xndxNewsData.do?method=userView&id=ZXZQeUNYWU9vcWVSYjdxWldDM005U2tFRUVFQ3o1Zko=	611
“111”计划引智基地系列学术报告	含弘讲坛	Young Ho Kim	2019-06-13	/seeyon/xndxNewsData.do?method=userView&id=THRXZ0NFTk5xUDlKcTJTeWVBbmRUdEQyUUFvVFhnU3I=	910
文档分析与识别的一些研究进展	含弘讲坛	刘成林，中国科学院自动化研究所 教授	2019-06-12	/seeyon/xndxNewsData.do?method=userView&id=TVhOeElkZHVyWFphd3pSL0VKbUd3MUtuYlpJNVExN1c=	614
基于现实代码学习的自动程序修复	含弘讲坛	刘逵	2019-06-13	/seeyon/xndxNewsData.do?method=userView&id=bGRvTkJKWHJUeUpZVHlEYi8xZnZSWjVQZ0lNRFVFT0I=	642
特殊环境情景下人体对典型有机污染物的暴露风险	含弘讲坛	曾永平  教授	2019-05-28	/seeyon/xndxNewsData.do?method=userView&id=Ui9KMlM1TFhZak9SR0VhcU5tTDdzTWdPWkNHWkJrbE8=	770
基于设计的研究之想象未来课程 	含弘讲坛	沈迹  美国迈阿密大学教学与学习系副教授(终身)	2019-06-28	/seeyon/xndxNewsData.do?method=userView&id=aVJaM1hmaDNPY0Z4UE5nZktHMVl5NDFTRzlkS2RCWFA=	425
黎明前的黑暗——新仙女木事件对人类文明进程的影响	学行讲坛	地理科学学院2017级地理科学（师范）专业衣帅、张葛、高菡、王春蕾、	2019-06-12	/seeyon/xndxNewsData.do?method=userView&id=RnU1RmQxd2w3c01WSWpKTzljU1JSR09ERzBsd2RZQTQ=	1125
CANDU反应堆中的锆合金辐照效应	含弘讲坛	姚仲文，博士，教授，加拿大皇后大学（Queen&rsquo;s University）教授	2019-06-06	/seeyon/xndxNewsData.do?method=userView&id=WDY1M2xOMFZUL2llMFhxWjFycFZmWmRYemZFS2VNN1Y=	563
谈谈科学精神	光大讲坛	中国人民大学 刘大椿 教授	2019-05-31	/seeyon/xndxNewsData.do?method=userView&id=QlR2R0NpOVhBWExWWWk0dmViaFZJMzZ1dGlzTzl3bnU=	1140
给未来家长的“星际漫游”指南	学行讲坛	教育学部2017级教育学专业杜娇阳、李彦慧	2019-06-03	/seeyon/xndxNewsData.do?method=userView&id=WHJwZTl2Ukh3c29ncjRTbllBUG9NTmg0bW5PcXlmS0c=	938
水俣公约后的全球汞研究	含弘讲坛	王飞越教授	2019-05-31	/seeyon/xndxNewsData.do?method=userView&id=cGZGRS9OVDdEOCt4TTRkeEQ0MFprcTAvczdxN3ZTRE8=	790
从基因组从头组装到微生物组与遗传背景的相互作用	含弘讲坛	周广宇，哈佛大学博士候选人	2019-05-31	/seeyon/xndxNewsData.do?method=userView&id=UXpnVzFpK2VVdU9qOUwyVGJ3QjA3MTQweEo1VmZVU08=	1134
重庆市畜牧兽医学会第二届“青年拔尖人才”学术论坛	含弘讲坛	赵建国	2019-06-19	/seeyon/xndxNewsData.do?method=userView&id=UUJLdXV3YWMxTVY4TEJRNUNwRlA2cUI5dTI1TnFNUU0=	1039
药学院学术讲座	含弘讲坛	张袁健（东南大学）	2019-05-28	/seeyon/xndxNewsData.do?method=userView&id=ODNYaEMzd3VYSmtCbW0vVnZLSWtob2o1ZjZTb1djMFU=	954
螨类抗性及适应性相关机制的研究	含弘讲坛	Thomas Van Leeuwen	2019-06-06	/seeyon/xndxNewsData.do?method=userView&id=YVJhcGtaQmduTE5Qd21jVWxSMVhNdTYzVzVxa1BJUVU=	822
西南大学第五届含弘青年学者论坛生物技术学院分论坛	含弘讲坛	毕晓宝	2019-05-29	/seeyon/xndxNewsData.do?method=userView&id=M1BwaG9Sc1Z6aHgrQWo3MGFCWEJESk8wUHRwOHdnaDU=	1031
“弃医从文”与“弃教从文”——鲁迅道路寻踪之一种	雨僧讲坛	张洁宇教授	2019-06-17	/seeyon/xndxNewsData.do?method=userView&id=UXlhL25FR1ZFQ3llYlkwS2ZSMDY5NFFUczNCeXhZY0w=	1230
外语教学研究的路径与方法——以写作教学研究为例	含弘讲坛	王敏 教授	2019-05-30	/seeyon/xndxNewsData.do?method=userView&id=SSs2MkloTmtaU0ZUZ3V6QStzQzE3M2tFdndRRUlJamU=	816
道义逻辑概述	含弘讲坛	董惠敏，浙江大学哲学系、语言与认知研究中心 博士后研究员	2019-06-28	/seeyon/xndxNewsData.do?method=userView&id=ZVNhM01EU1g1MmhieUgvMm5xSE0vU3QvVXA3d0ZBeWU=	406
摩尔拓扑平台: 低维超晶格中奇异拓扑态的实现与调控	含弘讲坛	麦吉尔大学 胡晨博士	2019-07-08	/seeyon/xndxNewsData.do?method=userView&id=TkZmOTRrSnhMc1dmM3RhYlROU0x3VUdHNk9TTCtHL08=	5
当前国际形势与中俄关系	含弘讲坛	程亦军，中国社会科学院研究员，中国社会科学院研究生院教授、	2019-06-14	/seeyon/xndxNewsData.do?method=userView&id=Sks4WUtkNDAxWHJkWHkySnVIdVp3UmowVHRSZGhFUVg=	1304
“111”计划引智基地系列学术报告	含弘讲坛	Vojislava Grbic	2019-06-21	/seeyon/xndxNewsData.do?method=userView&id=YmNlRkgwNnJKLysxalJzY3d3YngrOThnWitSYjVrcWM=	1219
及物性系统结果属性的入列条件	含弘讲坛	辛志英 教授	2019-05-29	/seeyon/xndxNewsData.do?method=userView&id=cklQTkZoOUxSbEdpbFBjdnA3ZE5OYUxGQ1k3L3dnYlg=	639
中国诗歌的“言内”与“言外”	雨僧讲坛	王红教授	2019-06-03	/seeyon/xndxNewsData.do?method=userView&id=cGxMbUY4NmpZQitwdEVmWEFsYnRYV2ZtS3ROMlROcUg=	1180
公共物品与社会至善	含弘讲坛	东南大学 樊和平 教授	2019-05-27	/seeyon/xndxNewsData.do?method=userView&id=UGNsakZtbFZOdUh3Y1M1YS9Dd1JIbjB0azh1WkNiNlg=	695
王铎的两种书写：兼及书法的“作品”概念	光大讲坛	薛龙春教授	2019-05-24	/seeyon/xndxNewsData.do?method=userView&id=aWpxbGVydVExTjdhcmkxZ3hvczNhYnpSZUFDbFNpL1I=	503
语言二语教学与语言本体研究的接口问题	含弘讲坛	陆俭明 教授	2019-05-23	/seeyon/xndxNewsData.do?method=userView&id=VkFNWVpFTVNuK0p3Rkg5Vkdjc2sxK1Y1ZFlyL2EyVzk=	471
AApeptides: 从结构到生物功能	含弘讲坛	蔡健峰 教授 （University of South Florida）	2019-05-21	/seeyon/xndxNewsData.do?method=userView&id=OUdGRXJ0d1EydzZWQzJ4SHFJTy9JNkhNdDV5MHhtSlo=	338
新型含能材料结构与性能数值模拟研究	含弘讲坛	陈军，博士，研究员，北京计算物理与应用数学研究所	2019-05-23	/seeyon/xndxNewsData.do?method=userView&id=dEdyWUdVaGFueHlYRUNscmVkSDB0T1VWZ0FpbTdXeVU=	563
明代的时尚潮流与物质文化	雨僧讲坛	陈宝良教授	2019-05-21	/seeyon/xndxNewsData.do?method=userView&id=eFVRQ0RsRTNleHV0eEFtU1B0VVh3ZHFlenl6ekJBbkI=	506
2019年中国南方草牧业绿色发展高峰论坛	含弘讲坛	洪琼花 研究员	2019-05-23	/seeyon/xndxNewsData.do?method=userView&id=cGc1MVd5aVprcmhDZU02UG05UFpTOFlHaFBDdGpPMTY=	494
药用天然产物的全合成：从合成方法、策略到疾病的药物新靶点	含弘讲坛	Mingji Dai （美国普渡大学 副教授）	2019-05-17	/seeyon/xndxNewsData.do?method=userView&id=dEdYK0JHaUpVWGJ0QnQ3YllKbW1IRFVOb1JER3pqS0Q=	430
俄语学习与翻译	含弘讲坛	赵为（黑龙江大学高翻学院院长、教授、博士生导师）	2019-05-16	/seeyon/xndxNewsData.do?method=userView&id=NjY4eHhLYzNWUnk4Y1V3RHhvVTEyNE1lSGtMRzNWN3I=	604
语言二语教学教师所需具备的最重要的素质	含弘讲坛	马 真 教授	2019-05-23	/seeyon/xndxNewsData.do?method=userView&id=TDFwR1Z1MHhBR2d5czl6VEhCS25xbFJQaW95WWtxQXc=	580
千年华夏传统服饰之美	学行讲坛	纺织服装学院服装与服饰设计专业2016级蒋蝶、2018级杨子萱、石子豪	2019-05-17	/seeyon/xndxNewsData.do?method=userView&id=a2Q3Y296M0RPUHAxVU5GaDVQdTd1RjBLbkZkUngrN0U=	375
由小见大——从“有一点儿”说起	光大讲坛	马真教授	2019-05-24	/seeyon/xndxNewsData.do?method=userView&id=dXlOKzl2by8zRXh3OUhXR3FaOEo2a1FmbWlaQkswRTk=	539
