词汇,词频
研究,3839
人,2619
报告,2563
教授,2218
大学,2096
中国,1762
学院,1322
报,1269
简介,1250
西南,1239
告,1237
国家,1235
发表,1047
是,1000
论文,987
主要,981
学术,904
博士,890
国际,854
获,783
技术,779
项目,752
获得,726
时,692
科学,664
项,658
导师,650
时间,640
从事,640
主,639
领域,630
讲座,630
中心,629
材料,623
美国,578
题目,566
—,565
委员会,561
博士生,556
应用,553
工作,547
文化,533
研究所,532
教育部,528
讲,527
生物,527
主任,521
计划,513
地点,509
主办单位,507
主讲人,504
化学,500
发展,494
研究员,492
学会,478
专家,478
报告厅,475
专业,470
期刊,465
科协,464
奖,450
基金,438
主持,437
青年,426
博士学位,423
博士后,411
包括,404
有,402
副,399
科技,398
哲学,394
方向,390
方法,375
上午,374
教育,371
教学,362
担任,361
分析,361
理论,360
题,359
系统,354
下午,349
历史,348
学者,346
实验室,340
会,339
方面,339
环境,336
新,332
分子,331
问题,329
重点,327
重庆市,313
部,313
委员,309
目前,307
出版,305
网络,301
毕业,300
重要,300
作者,300
校,293
杂志,290
社会科学,288
副教授,286
社会,284
进行,283
优秀,280
结构,278
目,277
纳米,277
国家自然科学基金,277
工程,275
中国科学院,273
创新,271
功能,270
教,269
人才,268
机制,265
文学,264
影响,264
大,261
相关,258
数据,256
先后,255
学术报告,254
管理,254
农业,253
植物,251
到,250
全国,250
论坛,245
设计,243
入选,241
现任,239
研究生,232
学科,230
专著,225
二等奖,223
药物,223
研究院,221
世界,220
语言,219
社科,219
作为,216
活动,216
院士,215
学习,215
一等奖,214
调控,214
计算,213
内容,213
基础,212
教学楼,210
具有,207
主编,199
过程,197
编委,197
参加,195
楼,193
重大,193
学术论文,192
会议,189
会议室,188
物理,187
合成,187
科学家,186
参与,185
院长,183
介绍,183
动物,183
重庆,182
科研,181
文学院,180
课题,179
自然科学,177
现,176
获得者,175
发现,174
计算机,174
学,173
主席,172
细胞,172
作用,170
北京大学,169
信息,169
政治,168
成果,166
利用,164
高,162
做,162
来,160
心理学,160
地理,160
传统,158
理事,158
引用,157
生物学,157
经济,155
主题,154
次,154
工程学院,154
特聘,152
能源,152
男,151
文献,151
硕士,150
合作,150
欢迎,150
化工学院,149
关系,147
常务理事,147
指导,147
资源,147
马克思主义,147
著作,145
完成,145
系,145
科学技术,145
教室,145
刊物,144
著名,143
省部级,142
因子,142
模型,142
单位,141
基因,141
德国,140
协会,139
智能,138
日本,137
系列,136
建设,136
支持,135
基金项目,135
语言学,135
数学,133
讲堂,133
开发,133
晚上,132
教师,132
艺术,132
人文,131
加拿大,131
沙龙,131
副主编,131
兼任,131
通讯,129
研究会,128
可,128
研究成果,127
组织,127
会员,126
英国,126
开展,126
控制,126
新型,125
杰出青年,125
引,124
实现,124
生态,124
国内外,123
硕士学位,123
国家级,122
复杂,121
任,120
中科院,120
研发,120
思想,119
高级,118
副会长,118
内容摘要,118
药学院,118
发明专利,117
新世纪,117
主讲,116
体系,116
检测,115
翻译,114
史,114
助理,114
资助,113
星期四,113
提出,112
现代,112
近,112
成为,112
核心,112
神经,111
高校,111
期,111
成员,111
摘要,110
杰出,109
评审,109
全球,108
科技进步,108
软件,108
微生物,108
疾病,107
分会,107
认知,107
生命科学,107
学部,106
澳大利亚,106
取得,105
年度,105
有机,105
编辑,104
超过,104
科学基金,104
蛋白,104
提高,104
南京大学,103
国务院,103
教材,103
学士学位,103
前沿,102
提供,102
规划,102
遗传,102
团队,102
工业,102
实践,101
文章,101
近年来,101
图书馆,100
学术期刊,100
经典,99
性能,99
分析化学,99
类,99
举办,98
不同,98
人类,97
星期五,96
计信院,96
表面,96
持,95
当代,95
电子信息,95
结合,95
课程,95
民族,95
教务处,95
优秀人才,95
长江,94
机理,93
科学院,92
健康,92
奖励,92
行为,92
理工大学,91
科研项目,91
北京,91
名师,91
外国语,91
培养,90
抗战,90
昆虫,90
国内,89
政府,89
城市,89
新加坡,89
学报,89
安全,89
特殊津贴,88
重点项目,88
代谢,88
四川大学,87
清华大学,87
乡村,87
州立大学,87
授权,87
西方,86
出版社,86
要,86
人工智能,86
公共,86
讲坛,86
江苏省,85
保护,85
免疫,85
化学系,85
知名,85
上海,85
同学们,85
论,84
学士,84
评价,84
学生,84
星期一,84
负责人,84
模式,84
副理事长,84
物,84
访问学者,83
制备,83
领军,83
优秀青年,83
水平,83
•,82
兴趣,82
承担,82
电子,82
建立,82
治疗,82
纳米材料,81
专项,81
承办,81
电影,81
踊跃,81
所长,80
信息科学,80
嘉宾,80
统计,80
北京市,80
含弘,80
带头人,80
成果奖,79
天然,79
探索,79
大后方,79
大会,79
金属,79
研究生院,78
活性,78
总,78
小,78
经验,78
蛋白质,78
复旦大学,77
荣誉,77
上海市,76
部分,76
室,76
实验,76
精神,76
收录,76
秘书长,75
电化学,75
分,75
基因组,75
表达,74
形成,74
星期六,74
起,73
专利,73
先进,73
成像,73
高等学校,73
产生,73
计算机科学,73
世纪,72
医学,72
级,72
三等奖,71
一楼,71
邀请,71
构建,71
四川省,71
时代,71
用于,71
柑桔,71
生活,70
美学,70
首席,70
挑战,70
荣获,70
公司,70
出,69
办,69
星期三,69
讨论,69
关注,69
机器,69
最佳,69
分校,69
高分子,69
法国,68
神经科学,68
性,68
战略,68
学院院长,68
汉语,68
植物保护,68
百,67
课题组,67
咨询,67
兼职,67
知识,67
访问,67
发育,67
纺织,67
逻辑,67
能,66
法,66
广泛,66
当选,66
学术会议,66
使用,66
脑,66
如,66
组装,66
申报,66
复合材料,66
拉丁文,65
武汉大学,65
中华,65
食品,65
生命,65
基地,65
存在,65
持续,65
南洋,65
产物,65
学位,64
成功,64
内容简介,64
广东省,64
申请,64
有效,64
星期二,63
促进,63
平台,63
北京师范大学,63
能够,63
分子生物学,63
育种,63
传播,63
未来,62
中青年,62
攻读,62
化,62
得到,62
师从,62
师生,62
跨学科,62
病毒,62
能力,62
讲师,61
联合,61
致力于,60
兼,60
农村,60
信号,60
主任委员,60
权威,60
空间,60
程序,60
审稿人,60
欧洲,60
生,59
基本,59
生产,59
重大项目,59
器件,59
加入,59
探讨,59
身份,59
联网,59
社会学,59
医学院,59
顾问,58
关键,58
超,58
反应,58
营养,58
篇,57
处理,57
模拟,57
方式,57
阅读,57
副研究员,57
理解,57
涉及,57
揭示,56
生理,56
信息学,56
周四,56
物理学,55
意义,55
非,55
算法,55
心理,55
遗传学,55
执行,55
先生,55
策略,55
党委,55
政策,55
雨僧,55
硕士生,54
独立,54
解决,54
变化,54
水,54
科学研究,54
综合,54
加工,54
演讲,54
量子,53
创业,53
动力学,53
集中,53
作品,53
王,53
质量,53
中山大学,52
制造,52
传感,52
决策,52
光,52
识别,52
企业,52
光学,52
临床,52
会长,52
中文系,51
传感器,51
智慧,51
产业,51
特征,51
途径,51
效应,51
修复,51
经济学,51
张,51
催化,51
生态学,51
服务,51
英文,50
交流,50
组,50
大学教授,50
近代,50
协同,50
发生,50
评估,50
聚合物,50
版,49
晚,49
发光,49
顶级,49
可能,49
物质,49
具体,49
国家杰出青年基金,49
浙江大学,49
系主任,49
湖北省,49
筛选,49
法学,48
客座教授,48
人员,48
建模,48
优化,48
媒体,48
界面,48
生物化学,48
暨,48
工具,48
背景,48
撰写,48
纤维,48
师范大学,47
作,47
工程技术,47
大量,47
能量,47
评为,47
专委会,47
组学,47
中国计算机学会,47
验证,47
培训,47
经藏,46
即,46
四川,46
中文,46
资料,46
学校,46
–,46
奖学金,46
需要,46
科技部,46
高效,46
本科毕业,46
基金会,45
深度,45
电池,45
负责,45
次数,45
进入,45
周五,45
称号,45
写作,45
二级,45
基,45
群体,45
南开大学,45
微,45
动态,45
形式,45
结果,45
古典,44
生物医学,44
突出贡献,44
发明,44
任教,44
记忆,44
地理学,44
优秀教师,44
绿色,44
提升,44
进展,44
星期日,44
基因组学,44
处,43
排名,43
享受,43
新加坡国立大学,43
学术刊物,43
工程系,43
当前,43
思考,43
法学院,42
高水平,42
授予,42
博导,42
大学化学,42
价值,42
预测,42
化合物,42
进化,42
移动,42
现象,42
中国社会科学院,42
参编,42
相互作用,42
抗,42
荧光,42
哲学系,41
出生,41
证明,41
大学生,41
上海交通大学,41
导致,41
整理,41
运动,41
集团,41
采用,41
中药,41
多孔,41
理学,40
肿瘤,40
连续,40
中国共产党,40
数据分析,40
电,40
联合会,40
显著,40
香港,40
全,40
金融,40
浙江省,40
材料科学,40
感染,40
广大,40
病,40
解读,39
融合,39
组成员,39
工作者,39
地区,39
药学,39
无机,39
基金委,39
丰富,39
优秀成果,39
信息技术,39
任务,39
